site,temp,id,avg.summer.t,x.coord,y.coord,Jun 22,Jul 10,Jul 27,survival,state
HOS,10,1,17.6,-124.2102174902,40.6706418681,4.2,5.2,,1,CA
HOS,10,2,17.6,-124.2102174902,40.6706418681,4.5,12.1,13.1,1,CA
HOS,10,3,17.6,-124.2102174902,40.6706418681,3.5,6.4,8.8,1,CA
HOS,10,4,17.6,-124.2102174902,40.6706418681,3,5.7,4.4,1,CA
HOS,10,5,17.6,-124.2102174902,40.6706418681,3.3,6.7,8.3,1,CA
HOS,10,6,17.6,-124.2102174902,40.6706418681,3.5,8.3,8.7,1,CA
HOS,10,7,17.6,-124.2102174902,40.6706418681,4.4,9.7,10.4,1,CA
HOS,10,8,17.6,-124.2102174902,40.6706418681,4.4,9.1,12.4,1,CA
HOS,10,9,17.6,-124.2102174902,40.6706418681,3.6,6.1,,1,CA
HOS,10,10,17.6,-124.2102174902,40.6706418681,3.5,7.7,9.9,1,CA
HOS,15,11,17.6,-124.2102174902,40.6706418681,2.7,13.9,35.4,1,CA
HOS,15,12,17.6,-124.2102174902,40.6706418681,4.3,11.4,15.7,1,CA
HOS,15,13,17.6,-124.2102174902,40.6706418681,2.8,,,0,CA
HOS,15,14,17.6,-124.2102174902,40.6706418681,1.4,4,4.4,1,CA
HOS,15,15,17.6,-124.2102174902,40.6706418681,4.9,8,,1,CA
HOS,15,16,17.6,-124.2102174902,40.6706418681,3.1,14.6,38.3,1,CA
HOS,15,17,17.6,-124.2102174902,40.6706418681,1.4,11.1,6,1,CA
HOS,15,18,17.6,-124.2102174902,40.6706418681,4.6,,,0,CA
HOS,15,19,17.6,-124.2102174902,40.6706418681,5.4,5.3,,1,CA
HOS,15,20,17.6,-124.2102174902,40.6706418681,2.8,15.2,,1,CA
HOS,20,21,17.6,-124.2102174902,40.6706418681,4.2,35,,1,CA
HOS,20,22,17.6,-124.2102174902,40.6706418681,3.4,12.3,,1,CA
HOS,20,23,17.6,-124.2102174902,40.6706418681,4.6,35.8,,1,CA
HOS,20,24,17.6,-124.2102174902,40.6706418681,4.7,32.6,75.2,1,CA
HOS,20,25,17.6,-124.2102174902,40.6706418681,3,18.2,,1,CA
HOS,20,26,17.6,-124.2102174902,40.6706418681,4.1,,,0,CA
HOS,20,27,17.6,-124.2102174902,40.6706418681,3.1,,,0,CA
HOS,20,28,17.6,-124.2102174902,40.6706418681,2.5,19.9,,1,CA
HOS,20,29,17.6,-124.2102174902,40.6706418681,4.7,45.5,,1,CA
HOS,20,30,17.6,-124.2102174902,40.6706418681,3.7,24.5,46.4,1,CA
HOS,30,31,17.6,-124.2102174902,40.6706418681,4,12.3,58.7,1,CA
HOS,30,32,17.6,-124.2102174902,40.6706418681,2.9,10.9,,1,CA
HOS,30,33,17.6,-124.2102174902,40.6706418681,5.9,,,0,CA
HOS,30,34,17.6,-124.2102174902,40.6706418681,2.7,25,45.3,1,CA
HOS,30,35,17.6,-124.2102174902,40.6706418681,3.5,5.5,,1,CA
HOS,30,36,17.6,-124.2102174902,40.6706418681,2,6.2,,1,CA
HOS,30,37,17.6,-124.2102174902,40.6706418681,3.1,,,0,CA
HOS,30,38,17.6,-124.2102174902,40.6706418681,3.1,19.2,,1,CA
HOS,30,39,17.6,-124.2102174902,40.6706418681,2.3,9,,1,CA
HOS,30,40,17.6,-124.2102174902,40.6706418681,3.5,19.3,,1,CA
GRO,10,1,25.5,-122.7998207227,45.2995827192,4.4,5.1,,1,OR
GRO,10,2,25.5,-122.7998207227,45.2995827192,4.1,8.3,7.6,1,OR
GRO,10,3,25.5,-122.7998207227,45.2995827192,2.9,5.1,7.4,1,OR
GRO,10,4,25.5,-122.7998207227,45.2995827192,3.6,8,7.7,1,OR
GRO,10,5,25.5,-122.7998207227,45.2995827192,3.6,8,8.8,1,OR
GRO,10,6,25.5,-122.7998207227,45.2995827192,4.6,4,5.6,1,OR
GRO,10,7,25.5,-122.7998207227,45.2995827192,3,4.6,,1,OR
GRO,10,8,25.5,-122.7998207227,45.2995827192,4,7.5,11.1,1,OR
GRO,10,9,25.5,-122.7998207227,45.2995827192,3.9,6.6,6.5,1,OR
GRO,10,10,25.5,-122.7998207227,45.2995827192,3.9,9.6,8.8,1,OR
GRO,15,11,25.5,-122.7998207227,45.2995827192,4,28,,1,OR
GRO,15,12,25.5,-122.7998207227,45.2995827192,6.4,,,0,OR
GRO,15,13,25.5,-122.7998207227,45.2995827192,5.4,23.3,29.6,1,OR
GRO,15,14,25.5,-122.7998207227,45.2995827192,5.3,,,0,OR
GRO,15,15,25.5,-122.7998207227,45.2995827192,5.1,,,0,OR
GRO,15,16,25.5,-122.7998207227,45.2995827192,5.5,,,0,OR
GRO,15,17,25.5,-122.7998207227,45.2995827192,4.8,30.6,57.9,1,OR
GRO,15,18,25.5,-122.7998207227,45.2995827192,4.8,30.8,,1,OR
GRO,15,19,25.5,-122.7998207227,45.2995827192,4.4,,,0,OR
GRO,15,20,25.5,-122.7998207227,45.2995827192,5.4,,,0,OR
GRO,20,21,25.5,-122.7998207227,45.2995827192,4.1,,,0,OR
GRO,20,22,25.5,-122.7998207227,45.2995827192,3.3,1.4,,1,OR
GRO,20,23,25.5,-122.7998207227,45.2995827192,4.6,,,0,OR
GRO,20,24,25.5,-122.7998207227,45.2995827192,4.8,,,0,OR
GRO,20,25,25.5,-122.7998207227,45.2995827192,4.4,,,0,OR
GRO,20,26,25.5,-122.7998207227,45.2995827192,4.5,,,0,OR
GRO,20,27,25.5,-122.7998207227,45.2995827192,4.3,,,0,OR
GRO,20,28,25.5,-122.7998207227,45.2995827192,4,,,0,OR
GRO,20,29,25.5,-122.7998207227,45.2995827192,3.5,,,0,OR
GRO,20,30,25.5,-122.7998207227,45.2995827192,3.6,,,0,OR
GRO,30,31,25.5,-122.7998207227,45.2995827192,4.4,,,0,OR
GRO,30,32,25.5,-122.7998207227,45.2995827192,4.1,,,0,OR
GRO,30,33,25.5,-122.7998207227,45.2995827192,4.5,22.2,,1,OR
GRO,30,34,25.5,-122.7998207227,45.2995827192,4.3,,,0,OR
GRO,30,35,25.5,-122.7998207227,45.2995827192,4.8,9.9,,1,OR
GRO,30,36,25.5,-122.7998207227,45.2995827192,4.2,,,0,OR
GRO,30,37,25.5,-122.7998207227,45.2995827192,5.1,7.4,,1,OR
GRO,30,38,25.5,-122.7998207227,45.2995827192,5.4,,,0,OR
GRO,30,39,25.5,-122.7998207227,45.2995827192,4.9,,,0,OR
GRO,30,40,25.5,-122.7998207227,45.2995827192,4,13.7,,1,OR
BMR,10,1,17.4,-123.0582016705,38.3186564529,12.7,20,24.6,1,CA
BMR,10,2,17.4,-123.0582016705,38.3186564529,12,17.7,26.5,1,CA
BMR,10,3,17.4,-123.0582016705,38.3186564529,8.4,14.3,16.3,1,CA
BMR,10,4,17.4,-123.0582016705,38.3186564529,4.9,8.1,11.1,1,CA
BMR,10,5,17.4,-123.0582016705,38.3186564529,9.5,14.7,18.2,1,CA
BMR,10,6,17.4,-123.0582016705,38.3186564529,5.3,9,,1,CA
BMR,10,7,17.4,-123.0582016705,38.3186564529,4.6,5.9,9.7,1,CA
BMR,10,8,17.4,-123.0582016705,38.3186564529,8.6,11.8,17,1,CA
BMR,10,9,17.4,-123.0582016705,38.3186564529,11.5,17.4,21.6,1,CA
BMR,10,10,17.4,-123.0582016705,38.3186564529,5.7,3.1,,1,CA
BMR,15,11,17.4,-123.0582016705,38.3186564529,3.3,12,57,1,CA
BMR,15,12,17.4,-123.0582016705,38.3186564529,8.1,27.9,65.4,1,CA
BMR,15,13,17.4,-123.0582016705,38.3186564529,8.7,20.2,54.7,1,CA
BMR,15,14,17.4,-123.0582016705,38.3186564529,10.9,32.9,40.7,1,CA
BMR,15,15,17.4,-123.0582016705,38.3186564529,3.4,5,,1,CA
BMR,15,16,17.4,-123.0582016705,38.3186564529,6.6,17.7,,1,CA
BMR,15,17,17.4,-123.0582016705,38.3186564529,2,4.5,40.4,1,CA
BMR,15,18,17.4,-123.0582016705,38.3186564529,15.3,14.4,21.7,1,CA
BMR,15,19,17.4,-123.0582016705,38.3186564529,2.7,3.4,,1,CA
BMR,15,20,17.4,-123.0582016705,38.3186564529,8.1,,,0,CA
BMR,20,21,17.4,-123.0582016705,38.3186564529,8.2,,,0,CA
BMR,20,22,17.4,-123.0582016705,38.3186564529,10,64.8,77.9,1,CA
BMR,20,23,17.4,-123.0582016705,38.3186564529,10.2,,,0,CA
BMR,20,24,17.4,-123.0582016705,38.3186564529,12.4,27.9,,1,CA
BMR,20,25,17.4,-123.0582016705,38.3186564529,6.8,50.5,70.2,1,CA
BMR,20,26,17.4,-123.0582016705,38.3186564529,11.3,,,0,CA
BMR,20,27,17.4,-123.0582016705,38.3186564529,11.1,63.2,,1,CA
BMR,20,28,17.4,-123.0582016705,38.3186564529,3.9,19,69.2,1,CA
BMR,20,29,17.4,-123.0582016705,38.3186564529,10.3,48.9,82.5,1,CA
BMR,20,30,17.4,-123.0582016705,38.3186564529,12.2,60.3,114.6,1,CA
BMR,30,31,17.4,-123.0582016705,38.3186564529,6.2,,,0,CA
BMR,30,32,17.4,-123.0582016705,38.3186564529,11.3,31.3,,1,CA
BMR,30,33,17.4,-123.0582016705,38.3186564529,9.4,,,0,CA
BMR,30,34,17.4,-123.0582016705,38.3186564529,11.1,27.5,61.3,1,CA
BMR,30,35,17.4,-123.0582016705,38.3186564529,10.9,25.5,51.1,1,CA
BMR,30,36,17.4,-123.0582016705,38.3186564529,7.1,33.2,44,1,CA
BMR,30,37,17.4,-123.0582016705,38.3186564529,9.4,34.4,58.6,1,CA
BMR,30,38,17.4,-123.0582016705,38.3186564529,12,,,0,CA
BMR,30,39,17.4,-123.0582016705,38.3186564529,5,11.8,,1,CA
BMR,30,40,17.4,-123.0582016705,38.3186564529,4.7,16.3,24.3,1,CA
